participant_id,trial_number,trial_id,domain,probability,gain,loss,certain_amount,certain_offset,is_dominance_check,choice,age_group,education,quant_background
P051,24,28,loss,0.75,0,100,-85.0,10.0,False,gamble,25-34,undergraduate,yes
P012,11,32,loss,0.5,0,100,0.0,,True,certain,18-24,other,no
P008,6,24,loss,0.5,0,100,-50.0,0.0,False,gamble,18-24,postgraduate,no
P037,12,22,loss,0.25,0,100,-35.0,10.0,False,gamble,25-34,undergraduate,no
P060,14,28,loss,0.75,0,100,-85.0,10.0,False,gamble,25-34,postgraduate,no
P007,31,27,loss,0.75,0,100,-75.0,0.0,False,certain,25-34,undergraduate,yes
P039,6,31,loss,0.9,0,100,-100.0,10.0,False,gamble,25-34,undergraduate,no
P028,27,1,gain,0.1,100,0,0.0,-10.0,False,gamble,18-24,postgraduate,no
P018,6,8,gain,0.5,100,0,50.0,0.0,False,gamble,35-44,undergraduate,no
P028,8,27,loss,0.75,0,100,-75.0,0.0,False,certain,18-24,postgraduate,no
P003,18,10,gain,0.75,100,0,65.0,-10.0,False,gamble,18-24,other,yes
P007,7,24,loss,0.5,0,100,-50.0,0.0,False,certain,25-34,undergraduate,yes
P006,11,5,gain,0.25,100,0,25.0,0.0,False,certain,25-34,undergraduate,no
P002,27,31,loss,0.9,0,100,-100.0,10.0,False,gamble,18-24,postgraduate,no
P030,30,21,loss,0.25,0,100,-25.0,0.0,False,certain,35-44,undergraduate,no
P045,6,25,loss,0.5,0,100,-60.0,10.0,False,gamble,25-34,undergraduate,no
P052,7,22,loss,0.25,0,100,-35.0,10.0,False,certain,45+,undergraduate,yes
P018,25,27,loss,0.75,0,100,-75.0,0.0,False,certain,35-44,undergraduate,no
P007,19,28,loss,0.75,0,100,-85.0,10.0,False,gamble,25-34,undergraduate,yes
P043,17,11,gain,0.75,100,0,75.0,0.0,False,certain,35-44,undergraduate,yes
P025,23,1,gain,0.1,100,0,0.0,-10.0,False,certain,35-44,undergraduate,yes
P058,7,2,gain,0.1,100,0,10.0,0.0,False,gamble,25-34,undergraduate,no
P047,9,19,loss,0.1,0,100,-20.0,10.0,False,gamble,18-24,undergraduate,no
P013,17,10,gain,0.75,100,0,65.0,-10.0,False,gamble,18-24,postgraduate,yes
P028,31,23,loss,0.5,0,100,-40.0,-10.0,False,gamble,18-24,postgraduate,no
P048,29,18,loss,0.1,0,100,-10.0,0.0,False,gamble,18-24,other,yes
P055,30,9,gain,0.5,100,0,60.0,10.0,False,gamble,18-24,undergraduate,no
P046,26,2,gain,0.1,100,0,10.0,0.0,False,certain,25-34,postgraduate,yes
P009,10,8,gain,0.5,100,0,50.0,0.0,False,gamble,18-24,postgraduate,yes
P060,6,5,gain,0.25,100,0,25.0,0.0,False,certain,25-34,postgraduate,no
P039,16,10,gain,0.75,100,0,65.0,-10.0,False,gamble,25-34,undergraduate,no
P044,32,2,gain,0.1,100,0,10.0,0.0,False,certain,45+,undergraduate,no
P048,7,12,gain,0.75,100,0,85.0,10.0,False,gamble,18-24,other,yes
P055,22,19,loss,0.1,0,100,-20.0,10.0,False,certain,18-24,undergraduate,no
P041,1,22,loss,0.25,0,100,-35.0,10.0,False,certain,18-24,undergraduate,no
P019,18,21,loss,0.25,0,100,-25.0,0.0,False,certain,18-24,other,no
P036,17,27,loss,0.75,0,100,-75.0,0.0,False,certain,18-24,postgraduate,yes
P030,24,3,gain,0.1,100,0,20.0,10.0,False,gamble,35-44,undergraduate,no
P020,25,31,loss,0.9,0,100,-100.0,10.0,False,gamble,18-24,undergraduate,no
P024,5,5,gain,0.25,100,0,25.0,0.0,False,gamble,45+,undergraduate,no
P056,28,15,gain,0.9,100,0,100.0,10.0,False,certain,18-24,undergraduate,yes
P010,16,7,gain,0.5,100,0,40.0,-10.0,False,gamble,25-34,undergraduate,yes
P001,28,6,gain,0.25,100,0,35.0,10.0,False,certain,18-24,undergraduate,no
P029,10,2,gain,0.1,100,0,10.0,0.0,False,certain,18-24,postgraduate,yes
P015,25,11,gain,0.75,100,0,75.0,0.0,False,certain,18-24,undergraduate,no
P010,32,13,gain,0.9,100,0,80.0,-10.0,False,gamble,25-34,undergraduate,yes
P033,28,32,loss,0.5,0,100,0.0,,True,certain,45+,postgraduate,no
P003,7,16,gain,0.5,100,0,120.0,,True,certain,18-24,other,yes
P005,13,26,loss,0.75,0,100,-65.0,-10.0,False,certain,25-34,postgraduate,no
P050,14,18,loss,0.1,0,100,-10.0,0.0,False,certain,45+,undergraduate,yes
P024,25,20,loss,0.25,0,100,-15.0,-10.0,False,certain,45+,undergraduate,no
P019,2,19,loss,0.1,0,100,-20.0,10.0,False,gamble,18-24,other,no
P006,9,7,gain,0.5,100,0,40.0,-10.0,False,gamble,25-34,undergraduate,no
P042,22,2,gain,0.1,100,0,10.0,0.0,False,gamble,35-44,undergraduate,yes
P041,21,11,gain,0.75,100,0,75.0,0.0,False,gamble,18-24,undergraduate,no
P026,16,14,gain,0.9,100,0,90.0,0.0,False,gamble,18-24,undergraduate,yes
P011,9,15,gain,0.9,100,0,100.0,10.0,False,certain,18-24,undergraduate,no
P013,27,24,loss,0.5,0,100,-50.0,0.0,False,gamble,18-24,postgraduate,yes
P002,30,1,gain,0.1,100,0,0.0,-10.0,False,gamble,18-24,postgraduate,no
P011,13,24,loss,0.5,0,100,-50.0,0.0,False,gamble,18-24,undergraduate,no
P056,11,8,gain,0.5,100,0,50.0,0.0,False,certain,18-24,undergraduate,yes
P003,6,18,loss,0.1,0,100,-10.0,0.0,False,certain,18-24,other,yes
P045,15,10,gain,0.75,100,0,65.0,-10.0,False,gamble,25-34,undergraduate,no
P003,2,15,gain,0.9,100,0,100.0,10.0,False,certain,18-24,other,yes
P029,21,4,gain,0.25,100,0,15.0,-10.0,False,gamble,18-24,postgraduate,yes
P034,17,18,loss,0.1,0,100,-10.0,0.0,False,certain,25-34,undergraduate,no
P023,7,8,gain,0.5,100,0,50.0,0.0,False,gamble,18-24,postgraduate,yes
P016,13,3,gain,0.1,100,0,20.0,10.0,False,certain,18-24,undergraduate,no
P025,29,26,loss,0.75,0,100,-65.0,-10.0,False,gamble,35-44,undergraduate,yes
P032,9,8,gain,0.5,100,0,50.0,0.0,False,certain,18-24,postgraduate,yes
P039,2,6,gain,0.25,100,0,35.0,10.0,False,gamble,25-34,undergraduate,no
P047,31,2,gain,0.1,100,0,10.0,0.0,False,certain,18-24,undergraduate,no
P057,7,16,gain,0.5,100,0,120.0,,True,certain,18-24,postgraduate,no
P032,5,24,loss,0.5,0,100,-50.0,0.0,False,certain,18-24,postgraduate,yes
P055,20,15,gain,0.9,100,0,100.0,10.0,False,gamble,18-24,undergraduate,no
P009,9,18,loss,0.1,0,100,-10.0,0.0,False,gamble,18-24,postgraduate,yes
P009,32,14,gain,0.9,100,0,90.0,0.0,False,certain,18-24,postgraduate,yes
P060,8,25,loss,0.5,0,100,-60.0,10.0,False,gamble,25-34,postgraduate,no
P049,3,17,loss,0.1,0,100,0.0,-10.0,False,certain,18-24,undergraduate,no
P012,4,9,gain,0.5,100,0,60.0,10.0,False,certain,18-24,other,no
P048,19,1,gain,0.1,100,0,0.0,-10.0,False,gamble,18-24,other,yes
P038,10,13,gain,0.9,100,0,80.0,-10.0,False,certain,18-24,postgraduate,no
P042,14,6,gain,0.25,100,0,35.0,10.0,False,gamble,35-44,undergraduate,yes
P013,10,14,gain,0.9,100,0,90.0,0.0,False,certain,18-24,postgraduate,yes
P019,21,17,loss,0.1,0,100,0.0,-10.0,False,certain,18-24,other,no
P044,19,14,gain,0.9,100,0,90.0,0.0,False,gamble,45+,undergraduate,no
P018,30,15,gain,0.9,100,0,100.0,10.0,False,gamble,35-44,undergraduate,no
P040,28,19,loss,0.1,0,100,-20.0,10.0,False,gamble,25-34,undergraduate,yes
P005,19,31,loss,0.9,0,100,-100.0,10.0,False,gamble,25-34,postgraduate,no
P001,17,28,loss,0.75,0,100,-85.0,10.0,False,gamble,18-24,undergraduate,no
P045,11,6,gain,0.25,100,0,35.0,10.0,False,certain,25-34,undergraduate,no
P050,22,21,loss,0.25,0,100,-25.0,0.0,False,certain,45+,undergraduate,yes
P033,29,25,loss,0.5,0,100,-60.0,10.0,False,gamble,45+,postgraduate,no
P002,28,27,loss,0.75,0,100,-75.0,0.0,False,certain,18-24,postgraduate,no
P045,24,19,loss,0.1,0,100,-20.0,10.0,False,gamble,25-34,undergraduate,no
P055,19,5,gain,0.25,100,0,25.0,0.0,False,gamble,18-24,undergraduate,no
P006,7,19,loss,0.1,0,100,-20.0,10.0,False,gamble,25-34,undergraduate,no
P038,24,8,gain,0.5,100,0,50.0,0.0,False,gamble,18-24,postgraduate,no
P033,20,13,gain,0.9,100,0,80.0,-10.0,False,certain,45+,postgraduate,no
P055,4,18,loss,0.1,0,100,-10.0,0.0,False,certain,18-24,undergraduate,no
P047,2,7,gain,0.5,100,0,40.0,-10.0,False,certain,18-24,undergraduate,no
P012,30,27,loss,0.75,0,100,-75.0,0.0,False,certain,18-24,other,no
P036,31,5,gain,0.25,100,0,25.0,0.0,False,certain,18-24,postgraduate,yes
P053,7,32,loss,0.5,0,100,0.0,,True,certain,18-24,undergraduate,no
P036,1,24,loss,0.5,0,100,-50.0,0.0,False,gamble,18-24,postgraduate,yes
P049,19,5,gain,0.25,100,0,25.0,0.0,False,gamble,18-24,undergraduate,no
P017,22,7,gain,0.5,100,0,40.0,-10.0,False,gamble,25-34,undergraduate,yes
P011,15,28,loss,0.75,0,100,-85.0,10.0,False,gamble,18-24,undergraduate,no
P026,26,26,loss,0.75,0,100,-65.0,-10.0,False,certain,18-24,undergraduate,yes
P041,4,28,loss,0.75,0,100,-85.0,10.0,False,certain,18-24,undergraduate,no
P021,3,13,gain,0.9,100,0,80.0,-10.0,False,gamble,35-44,undergraduate,yes
P044,12,29,loss,0.9,0,100,-80.0,-10.0,False,certain,45+,undergraduate,no
P028,3,15,gain,0.9,100,0,100.0,10.0,False,gamble,18-24,postgraduate,no
P047,7,17,loss,0.1,0,100,0.0,-10.0,False,certain,18-24,undergraduate,no
P015,7,16,gain,0.5,100,0,120.0,,True,certain,18-24,undergraduate,no
P048,26,26,loss,0.75,0,100,-65.0,-10.0,False,certain,18-24,other,yes
P001,26,17,loss,0.1,0,100,0.0,-10.0,False,certain,18-24,undergraduate,no
P023,16,2,gain,0.1,100,0,10.0,0.0,False,gamble,18-24,postgraduate,yes
P032,17,26,loss,0.75,0,100,-65.0,-10.0,False,certain,18-24,postgraduate,yes
P030,3,18,loss,0.1,0,100,-10.0,0.0,False,certain,35-44,undergraduate,no
P060,25,10,gain,0.75,100,0,65.0,-10.0,False,gamble,25-34,postgraduate,no
P016,26,20,loss,0.25,0,100,-15.0,-10.0,False,certain,18-24,undergraduate,no
P036,7,20,loss,0.25,0,100,-15.0,-10.0,False,certain,18-24,postgraduate,yes
P016,14,30,loss,0.9,0,100,-90.0,0.0,False,gamble,18-24,undergraduate,no
P021,30,15,gain,0.9,100,0,100.0,10.0,False,gamble,35-44,undergraduate,yes
P001,5,14,gain,0.9,100,0,90.0,0.0,False,certain,18-24,undergraduate,no
P058,11,18,loss,0.1,0,100,-10.0,0.0,False,certain,25-34,undergraduate,no
P056,5,27,loss,0.75,0,100,-75.0,0.0,False,gamble,18-24,undergraduate,yes
P054,12,28,loss,0.75,0,100,-85.0,10.0,False,gamble,35-44,postgraduate,no
P009,29,2,gain,0.1,100,0,10.0,0.0,False,gamble,18-24,postgraduate,yes
P058,12,17,loss,0.1,0,100,0.0,-10.0,False,certain,25-34,undergraduate,no
P004,6,24,loss,0.5,0,100,-50.0,0.0,False,certain,18-24,undergraduate,no
P006,21,17,loss,0.1,0,100,0.0,-10.0,False,gamble,25-34,undergraduate,no
P053,12,22,loss,0.25,0,100,-35.0,10.0,False,certain,18-24,undergraduate,no
P035,23,12,gain,0.75,100,0,85.0,10.0,False,gamble,18-24,postgraduate,yes
P049,32,19,loss,0.1,0,100,-20.0,10.0,False,gamble,18-24,undergraduate,no
P050,24,7,gain,0.5,100,0,40.0,-10.0,False,gamble,45+,undergraduate,yes
P024,17,28,loss,0.75,0,100,-85.0,10.0,False,gamble,45+,undergraduate,no
P055,31,13,gain,0.9,100,0,80.0,-10.0,False,gamble,18-24,undergraduate,no
P041,11,14,gain,0.9,100,0,90.0,0.0,False,gamble,18-24,undergraduate,no
P040,1,16,gain,0.5,100,0,120.0,,True,certain,25-34,undergraduate,yes
P005,20,14,gain,0.9,100,0,90.0,0.0,False,certain,25-34,postgraduate,no
P046,21,13,gain,0.9,100,0,80.0,-10.0,False,gamble,25-34,postgraduate,yes
P026,19,21,loss,0.25,0,100,-25.0,0.0,False,gamble,18-24,undergraduate,yes
P050,32,5,gain,0.25,100,0,25.0,0.0,False,certain,45+,undergraduate,yes
P049,26,13,gain,0.9,100,0,80.0,-10.0,False,gamble,18-24,undergraduate,no
P005,17,13,gain,0.9,100,0,80.0,-10.0,False,gamble,25-34,postgraduate,no
P003,23,26,loss,0.75,0,100,-65.0,-10.0,False,gamble,18-24,other,yes
P003,10,28,loss,0.75,0,100,-85.0,10.0,False,certain,18-24,other,yes
P021,31,30,loss,0.9,0,100,-90.0,0.0,False,gamble,35-44,undergraduate,yes
P023,14,25,loss,0.5,0,100,-60.0,10.0,False,gamble,18-24,postgraduate,yes
P054,19,22,loss,0.25,0,100,-35.0,10.0,False,gamble,35-44,postgraduate,no
P029,9,10,gain,0.75,100,0,65.0,-10.0,False,gamble,18-24,postgraduate,yes
P033,5,10,gain,0.75,100,0,65.0,-10.0,False,certain,45+,postgraduate,no
P028,30,14,gain,0.9,100,0,90.0,0.0,False,certain,18-24,postgraduate,no
P007,20,31,loss,0.9,0,100,-100.0,10.0,False,gamble,25-34,undergraduate,yes
P009,8,6,gain,0.25,100,0,35.0,10.0,False,certain,18-24,postgraduate,yes
P037,24,25,loss,0.5,0,100,-60.0,10.0,False,gamble,25-34,undergraduate,no
P001,29,4,gain,0.25,100,0,15.0,-10.0,False,gamble,18-24,undergraduate,no
P049,31,9,gain,0.5,100,0,60.0,10.0,False,gamble,18-24,undergraduate,no
P057,9,22,loss,0.25,0,100,-35.0,10.0,False,certain,18-24,postgraduate,no
P049,4,7,gain,0.5,100,0,40.0,-10.0,False,gamble,18-24,undergraduate,no
P010,10,22,loss,0.25,0,100,-35.0,10.0,False,gamble,25-34,undergraduate,yes
P059,5,25,loss,0.5,0,100,-60.0,10.0,False,gamble,25-34,postgraduate,no
P010,30,24,loss,0.5,0,100,-50.0,0.0,False,certain,25-34,undergraduate,yes
P029,1,3,gain,0.1,100,0,20.0,10.0,False,certain,18-24,postgraduate,yes
P028,25,24,loss,0.5,0,100,-50.0,0.0,False,gamble,18-24,postgraduate,no
P042,27,25,loss,0.5,0,100,-60.0,10.0,False,gamble,35-44,undergraduate,yes
P038,30,4,gain,0.25,100,0,15.0,-10.0,False,certain,18-24,postgraduate,no
P043,30,9,gain,0.5,100,0,60.0,10.0,False,certain,35-44,undergraduate,yes
P007,2,25,loss,0.5,0,100,-60.0,10.0,False,certain,25-34,undergraduate,yes
P047,5,5,gain,0.25,100,0,25.0,0.0,False,certain,18-24,undergraduate,no
P028,32,8,gain,0.5,100,0,50.0,0.0,False,certain,18-24,postgraduate,no
P048,11,25,loss,0.5,0,100,-60.0,10.0,False,gamble,18-24,other,yes
P026,6,32,loss,0.5,0,100,0.0,,True,certain,18-24,undergraduate,yes
P052,32,1,gain,0.1,100,0,0.0,-10.0,False,certain,45+,undergraduate,yes
P037,3,3,gain,0.1,100,0,20.0,10.0,False,gamble,25-34,undergraduate,no
P033,4,9,gain,0.5,100,0,60.0,10.0,False,certain,45+,postgraduate,no
P042,1,13,gain,0.9,100,0,80.0,-10.0,False,certain,35-44,undergraduate,yes
P007,30,6,gain,0.25,100,0,35.0,10.0,False,gamble,25-34,undergraduate,yes
P037,30,12,gain,0.75,100,0,85.0,10.0,False,gamble,25-34,undergraduate,no
P007,8,32,loss,0.5,0,100,0.0,,True,certain,25-34,undergraduate,yes
P018,22,26,loss,0.75,0,100,-65.0,-10.0,False,certain,35-44,undergraduate,no
P054,23,29,loss,0.9,0,100,-80.0,-10.0,False,gamble,35-44,postgraduate,no
P041,25,30,loss,0.9,0,100,-90.0,0.0,False,gamble,18-24,undergraduate,no
P028,22,25,loss,0.5,0,100,-60.0,10.0,False,gamble,18-24,postgraduate,no
P031,26,17,loss,0.1,0,100,0.0,-10.0,False,certain,18-24,undergraduate,no
P016,19,10,gain,0.75,100,0,65.0,-10.0,False,gamble,18-24,undergraduate,no
P046,23,7,gain,0.5,100,0,40.0,-10.0,False,gamble,25-34,postgraduate,yes
P053,17,5,gain,0.25,100,0,25.0,0.0,False,gamble,18-24,undergraduate,no
P010,6,6,gain,0.25,100,0,35.0,10.0,False,certain,25-34,undergraduate,yes
P035,24,11,gain,0.75,100,0,75.0,0.0,False,certain,18-24,postgraduate,yes
P040,14,24,loss,0.5,0,100,-50.0,0.0,False,certain,25-34,undergraduate,yes
P059,25,10,gain,0.75,100,0,65.0,-10.0,False,gamble,25-34,postgraduate,no
P033,8,1,gain,0.1,100,0,0.0,-10.0,False,gamble,45+,postgraduate,no
P025,15,25,loss,0.5,0,100,-60.0,10.0,False,gamble,35-44,undergraduate,yes
P057,22,20,loss,0.25,0,100,-15.0,-10.0,False,certain,18-24,postgraduate,no
P005,30,27,loss,0.75,0,100,-75.0,0.0,False,certain,25-34,postgraduate,no
P054,2,25,loss,0.5,0,100,-60.0,10.0,False,certain,35-44,postgraduate,no
P007,18,23,loss,0.5,0,100,-40.0,-10.0,False,certain,25-34,undergraduate,yes
P050,6,23,loss,0.5,0,100,-40.0,-10.0,False,certain,45+,undergraduate,yes
P027,26,11,gain,0.75,100,0,75.0,0.0,False,gamble,18-24,undergraduate,no
P039,23,9,gain,0.5,100,0,60.0,10.0,False,gamble,25-34,undergraduate,no
P040,15,18,loss,0.1,0,100,-10.0,0.0,False,certain,25-34,undergraduate,yes
P051,20,14,gain,0.9,100,0,90.0,0.0,False,certain,25-34,undergraduate,yes
P060,22,7,gain,0.5,100,0,40.0,-10.0,False,gamble,25-34,postgraduate,no
P038,26,22,loss,0.25,0,100,-35.0,10.0,False,gamble,18-24,postgraduate,no
P030,7,13,gain,0.9,100,0,80.0,-10.0,False,gamble,35-44,undergraduate,no
P018,14,13,gain,0.9,100,0,80.0,-10.0,False,gamble,35-44,undergraduate,no
P018,23,32,loss,0.5,0,100,0.0,,True,certain,35-44,undergraduate,no
P033,15,20,loss,0.25,0,100,-15.0,-10.0,False,gamble,45+,postgraduate,no
P051,3,32,loss,0.5,0,100,0.0,,True,certain,25-34,undergraduate,yes
P052,6,4,gain,0.25,100,0,15.0,-10.0,False,gamble,45+,undergraduate,yes
P011,20,19,loss,0.1,0,100,-20.0,10.0,False,gamble,18-24,undergraduate,no
P034,1,13,gain,0.9,100,0,80.0,-10.0,False,gamble,25-34,undergraduate,no
P006,22,3,gain,0.1,100,0,20.0,10.0,False,certain,25-34,undergraduate,no
P043,19,30,loss,0.9,0,100,-90.0,0.0,False,gamble,35-44,undergraduate,yes
P032,23,23,loss,0.5,0,100,-40.0,-10.0,False,certain,18-24,postgraduate,yes
P035,8,20,loss,0.25,0,100,-15.0,-10.0,False,certain,18-24,postgraduate,yes
P058,9,19,loss,0.1,0,100,-20.0,10.0,False,certain,25-34,undergraduate,no
P059,23,24,loss,0.5,0,100,-50.0,0.0,False,gamble,25-34,postgraduate,no
P052,19,21,loss,0.25,0,100,-25.0,0.0,False,gamble,45+,undergraduate,yes
P011,3,20,loss,0.25,0,100,-15.0,-10.0,False,certain,18-24,undergraduate,no
P014,5,26,loss,0.75,0,100,-65.0,-10.0,False,gamble,18-24,postgraduate,no
P016,11,14,gain,0.9,100,0,90.0,0.0,False,gamble,18-24,undergraduate,no
P007,6,3,gain,0.1,100,0,20.0,10.0,False,gamble,25-34,undergraduate,yes
P042,30,28,loss,0.75,0,100,-85.0,10.0,False,gamble,35-44,undergraduate,yes
P041,30,13,gain,0.9,100,0,80.0,-10.0,False,certain,18-24,undergraduate,no
P002,15,3,gain,0.1,100,0,20.0,10.0,False,gamble,18-24,postgraduate,no
P029,8,24,loss,0.5,0,100,-50.0,0.0,False,certain,18-24,postgraduate,yes
P049,7,23,loss,0.5,0,100,-40.0,-10.0,False,certain,18-24,undergraduate,no
P034,30,30,loss,0.9,0,100,-90.0,0.0,False,certain,25-34,undergraduate,no
P025,20,17,loss,0.1,0,100,0.0,-10.0,False,certain,35-44,undergraduate,yes
P023,5,21,loss,0.25,0,100,-25.0,0.0,False,certain,18-24,postgraduate,yes
P028,21,4,gain,0.25,100,0,15.0,-10.0,False,gamble,18-24,postgraduate,no
P012,22,19,loss,0.1,0,100,-20.0,10.0,False,gamble,18-24,other,no
P029,7,7,gain,0.5,100,0,40.0,-10.0,False,gamble,18-24,postgraduate,yes
P040,3,31,loss,0.9,0,100,-100.0,10.0,False,gamble,25-34,undergraduate,yes
P034,20,6,gain,0.25,100,0,35.0,10.0,False,gamble,25-34,undergraduate,no
P044,9,25,loss,0.5,0,100,-60.0,10.0,False,gamble,45+,undergraduate,no
P031,20,26,loss,0.75,0,100,-65.0,-10.0,False,certain,18-24,undergraduate,no
P058,3,24,loss,0.5,0,100,-50.0,0.0,False,certain,25-34,undergraduate,no
P010,13,19,loss,0.1,0,100,-20.0,10.0,False,gamble,25-34,undergraduate,yes
P042,32,11,gain,0.75,100,0,75.0,0.0,False,gamble,35-44,undergraduate,yes
P058,17,4,gain,0.25,100,0,15.0,-10.0,False,gamble,25-34,undergraduate,no
P016,25,27,loss,0.75,0,100,-75.0,0.0,False,gamble,18-24,undergraduate,no
P040,2,21,loss,0.25,0,100,-25.0,0.0,False,certain,25-34,undergraduate,yes
P018,19,30,loss,0.9,0,100,-90.0,0.0,False,certain,35-44,undergraduate,no
P059,12,5,gain,0.25,100,0,25.0,0.0,False,certain,25-34,postgraduate,no
P006,16,27,loss,0.75,0,100,-75.0,0.0,False,certain,25-34,undergraduate,no
P045,2,5,gain,0.25,100,0,25.0,0.0,False,certain,25-34,undergraduate,no
P059,19,4,gain,0.25,100,0,15.0,-10.0,False,gamble,25-34,postgraduate,no
P047,16,6,gain,0.25,100,0,35.0,10.0,False,certain,18-24,undergraduate,no
