participant_id,trial_number,trial_id,domain,probability,gain,loss,certain_amount,certain_offset,is_dominance_check,choice
P051,24,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P012,11,32,loss,0.5,0,100,0.0,,True,certain
P008,6,24,loss,0.5,0,100,-50.0,0.0,False,gamble
P037,12,22,loss,0.25,0,100,-35.0,10.0,False,gamble
P060,14,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P007,31,27,loss,0.75,0,100,-75.0,0.0,False,certain
P039,6,31,loss,0.9,0,100,-100.0,10.0,False,gamble
P028,27,1,gain,0.1,100,0,0.0,-10.0,False,gamble
P018,6,8,gain,0.5,100,0,50.0,0.0,False,gamble
P028,8,27,loss,0.75,0,100,-75.0,0.0,False,certain
P020,26,15,gain,0.9,100,0,100.0,10.0,False,
P003,18,10,gain,0.75,100,0,65.0,-10.0,False,gamble
P007,7,24,loss,0.5,0,100,-50.0,0.0,False,certain
P006,11,5,gain,0.25,100,0,25.0,0.0,False,certain
P002,27,31,loss,0.9,0,100,-100.0,10.0,False,gamble
P030,30,21,loss,0.25,0,100,-25.0,0.0,False,certain
P045,6,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P052,7,22,loss,0.25,0,100,-35.0,10.0,False,certain
P018,25,27,loss,0.75,0,100,-75.0,0.0,False,certain
P007,19,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P026,30,6,gain,1.4,100,0,35.0,10.0,False,gamble
P043,17,11,gain,0.75,100,0,75.0,0.0,False,certain
P025,23,1,gain,0.1,100,0,0.0,-10.0,False,certain
P058,7,2,gain,0.1,100,0,10.0,0.0,False,gamble
P047,9,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P013,17,10,gain,0.75,100,0,65.0,-10.0,False,gamble
P028,31,23,loss,0.5,0,100,-40.0,-10.0,False,gamble
P048,29,18,loss,0.1,0,100,-10.0,0.0,False,gamble
P055,30,9,gain,0.5,100,0,60.0,10.0,False,gamble
P046,26,2,gain,0.1,100,0,10.0,0.0,False,certain
P009,10,8,gain,0.5,100,0,50.0,0.0,False,gamble
P060,6,5,gain,0.25,100,0,25.0,0.0,False,certain
P039,16,10,gain,0.75,100,0,65.0,-10.0,False,gamble
P044,32,2,gain,0.1,100,0,10.0,0.0,False,certain
P048,7,12,gain,0.75,100,0,85.0,10.0,False,gamble
P055,22,19,loss,0.1,0,100,-20.0,10.0,False,certain
P041,1,22,loss,0.25,0,100,-35.0,10.0,False,certain
P019,18,21,loss,0.25,0,100,-25.0,0.0,False,certain
P036,17,27,loss,0.75,0,100,-75.0,0.0,False,certain
P030,24,3,gain,0.1,100,0,20.0,10.0,False,gamble
P020,25,31,loss,0.9,0,100,-100.0,10.0,False,gamble
P024,5,5,gain,0.25,100,0,25.0,0.0,False,gamble
P056,28,15,gain,0.9,100,0,100.0,10.0,False,certain
P010,16,7,gain,0.5,100,0,40.0,-10.0,False,gamble
P001,28,6,gain,0.25,100,0,35.0,10.0,False,certain
P029,10,2,gain,0.1,100,0,10.0,0.0,False,certain
P015,25,11,gain,0.75,100,0,75.0,0.0,False,certain
P010,32,13,gain,0.9,100,0,80.0,-10.0,False,gamble
P033,28,32,loss,0.5,0,100,0.0,,True,certain
P003,7,16,gain,0.5,100,0,120.0,,True,certain
P005,13,26,loss,0.75,0,100,-65.0,-10.0,False,certain
P050,14,18,loss,0.1,0,100,-10.0,0.0,False,certain
P024,25,20,loss,0.25,0,100,-15.0,-10.0,False,certain
P019,2,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P006,9,7,gain,0.5,100,0,40.0,-10.0,False,gamble
P042,22,2,gain,0.1,100,0,10.0,0.0,False,gamble
P041,21,11,gain,0.75,100,0,75.0,0.0,False,gamble
P026,16,14,gain,0.9,100,0,90.0,0.0,False,gamble
P011,9,15,gain,0.9,100,0,100.0,10.0,False,certain
P013,27,24,loss,0.5,0,100,-50.0,0.0,False,gamble
P002,30,1,gain,0.1,100,0,0.0,-10.0,False,gamble
P011,13,24,loss,0.5,0,100,-50.0,0.0,False,gamble
P056,11,8,gain,0.5,100,0,50.0,0.0,False,certain
P003,6,18,loss,0.1,0,100,-10.0,0.0,False,certain
P045,15,10,gain,0.75,100,0,65.0,-10.0,False,gamble
P003,2,15,gain,0.9,100,0,100.0,10.0,False,certain
P029,21,4,gain,0.25,100,0,15.0,-10.0,False,gamble
P034,17,18,loss,0.1,0,100,-10.0,0.0,False,certain
P023,7,8,gain,0.5,100,0,50.0,0.0,False,gamble
P016,13,3,gain,0.1,100,0,20.0,10.0,False,certain
P025,29,26,loss,0.75,0,100,-65.0,-10.0,False,gamble
P032,9,8,gain,0.5,100,0,50.0,0.0,False,certain
P039,2,6,gain,0.25,100,0,35.0,10.0,False,gamble
P047,31,2,gain,0.1,100,0,10.0,0.0,False,certain
P057,7,16,gain,0.5,100,0,120.0,,True,certain
P032,5,24,loss,0.5,0,100,-50.0,0.0,False,certain
P055,20,15,gain,0.9,100,0,100.0,10.0,False,gamble
P009,9,18,loss,0.1,0,100,-10.0,0.0,False,gamble
P009,32,14,gain,0.9,100,0,90.0,0.0,False,certain
P060,8,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P049,3,17,loss,0.1,0,100,0.0,-10.0,False,certain
P012,4,9,gain,0.5,100,0,60.0,10.0,False,certain
P048,19,1,gain,0.1,100,0,0.0,-10.0,False,gamble
P038,10,13,gain,0.9,100,0,80.0,-10.0,False,certain
P042,14,6,gain,0.25,100,0,35.0,10.0,False,gamble
P013,10,14,gain,0.9,100,0,90.0,0.0,False,certain
P019,21,17,loss,0.1,0,100,0.0,-10.0,False,certain
P044,19,14,gain,0.9,100,0,90.0,0.0,False,gamble
P018,30,15,gain,0.9,100,0,100.0,10.0,False,gamble
P040,28,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P005,19,31,loss,0.9,0,100,-100.0,10.0,False,gamble
P001,17,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P045,11,6,gain,0.25,100,0,35.0,10.0,False,certain
P050,22,21,loss,0.25,0,100,-25.0,0.0,False,certain
P033,29,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P002,28,27,loss,0.75,0,100,-75.0,0.0,False,certain
P045,24,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P055,19,5,gain,0.25,100,0,25.0,0.0,False,gamble
P006,7,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P038,24,8,gain,0.5,100,0,50.0,0.0,False,gamble
P033,20,13,gain,0.9,100,0,80.0,-10.0,False,certain
P055,4,18,loss,0.1,0,100,-10.0,0.0,False,certain
P047,2,7,gain,0.5,100,0,40.0,-10.0,False,certain
P012,30,27,loss,0.75,0,100,-75.0,0.0,False,certain
P036,31,5,gain,0.25,100,0,25.0,0.0,False,certain
P053,7,32,loss,0.5,0,100,0.0,,True,certain
P036,1,24,loss,0.5,0,100,-50.0,0.0,False,gamble
P049,19,5,gain,0.25,100,0,25.0,0.0,False,gamble
P017,22,7,gain,0.5,100,0,40.0,-10.0,False,gamble
P011,15,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P026,26,26,loss,0.75,0,100,-65.0,-10.0,False,certain
P041,4,28,loss,0.75,0,100,-85.0,10.0,False,certain
P020,24,29,loss,0.9,0,100,,-10.0,False,certain
P021,3,13,gain,0.9,100,0,80.0,-10.0,False,gamble
P044,12,29,loss,0.9,0,100,-80.0,-10.0,False,certain
P028,3,15,gain,0.9,100,0,100.0,10.0,False,gamble
P047,7,17,loss,0.1,0,100,0.0,-10.0,False,certain
P015,7,16,gain,0.5,100,0,120.0,,True,certain
P048,26,26,loss,0.75,0,100,-65.0,-10.0,False,certain
P001,26,17,loss,0.1,0,100,0.0,-10.0,False,certain
P023,16,2,gain,0.1,100,0,10.0,0.0,False,gamble
P032,17,26,loss,0.75,0,100,-65.0,-10.0,False,certain
P030,3,18,loss,0.1,0,100,-10.0,0.0,False,certain
P009,10,8,gain,0.5,100,0,50.0,0.0,False,gamble
P060,25,10,gain,0.75,100,0,65.0,-10.0,False,gamble
P016,26,20,loss,0.25,0,100,-15.0,-10.0,False,certain
P036,7,20,loss,0.25,0,100,-15.0,-10.0,False,certain
P016,14,30,loss,0.9,0,100,-90.0,0.0,False,gamble
P021,30,15,gain,0.9,100,0,100.0,10.0,False,gamble
P001,5,14,gain,0.9,100,0,90.0,0.0,False,certain
P058,11,18,loss,0.1,0,100,-10.0,0.0,False,certain
P056,5,27,loss,0.75,0,100,-75.0,0.0,False,gamble
P054,12,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P009,29,2,gain,0.1,100,0,10.0,0.0,False,gamble
P058,12,17,loss,0.1,0,100,0.0,-10.0,False,certain
P004,6,24,loss,0.5,0,100,-50.0,0.0,False,certain
P006,21,17,loss,0.1,0,100,0.0,-10.0,False,gamble
P053,12,22,loss,0.25,0,100,-35.0,10.0,False,certain
P035,23,12,gain,0.75,100,0,85.0,10.0,False,gamble
P049,32,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P050,24,7,gain,0.5,100,0,40.0,-10.0,False,gamble
P024,17,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P055,31,13,gain,0.9,100,0,80.0,-10.0,False,gamble
P041,11,14,gain,0.9,100,0,90.0,0.0,False,gamble
P040,1,16,gain,0.5,100,0,120.0,,True,certain
P005,20,14,gain,0.9,100,0,90.0,0.0,False,certain
P046,21,13,gain,0.9,100,0,80.0,-10.0,False,gamble
P026,19,21,loss,0.25,0,100,-25.0,0.0,False,gamble
P050,32,5,gain,0.25,100,0,25.0,0.0,False,certain
P049,26,13,gain,0.9,100,0,80.0,-10.0,False,gamble
P005,17,13,gain,0.9,100,0,80.0,-10.0,False,gamble
P003,23,26,loss,0.75,0,100,-65.0,-10.0,False,gamble
P003,10,28,loss,0.75,0,100,-85.0,10.0,False,certain
P021,31,30,loss,0.9,0,100,-90.0,0.0,False,gamble
P023,14,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P054,19,22,loss,0.25,0,100,-35.0,10.0,False,gamble
P029,9,10,gain,0.75,100,0,65.0,-10.0,False,gamble
P033,5,10,gain,0.75,100,0,65.0,-10.0,False,certain
P028,30,14,gain,0.9,100,0,90.0,0.0,False,certain
P007,20,31,loss,0.9,0,100,-100.0,10.0,False,gamble
P009,8,6,gain,0.25,100,0,35.0,10.0,False,certain
P037,24,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P001,29,4,gain,0.25,100,0,15.0,-10.0,False,gamble
P049,31,9,gain,0.5,100,0,60.0,10.0,False,gamble
P057,9,22,loss,0.25,0,100,-35.0,10.0,False,certain
P049,4,7,gain,0.5,100,0,40.0,-10.0,False,gamble
P010,10,22,loss,0.25,0,100,-35.0,10.0,False,gamble
P059,5,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P010,30,24,loss,0.5,0,100,-50.0,0.0,False,certain
P029,1,3,gain,0.1,100,0,20.0,10.0,False,certain
P028,25,24,loss,0.5,0,100,-50.0,0.0,False,gamble
P042,27,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P038,30,4,gain,0.25,100,0,15.0,-10.0,False,certain
P043,30,9,gain,0.5,100,0,60.0,10.0,False,certain
P007,2,25,loss,0.5,0,100,-60.0,10.0,False,certain
P047,5,5,gain,0.25,100,0,25.0,0.0,False,certain
P028,32,8,gain,0.5,100,0,50.0,0.0,False,certain
P048,11,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P026,6,32,loss,0.5,0,100,0.0,,True,certain
P052,32,1,gain,0.1,100,0,0.0,-10.0,False,certain
P037,3,3,gain,0.1,100,0,20.0,10.0,False,gamble
P033,4,9,gain,0.5,100,0,60.0,10.0,False,certain
P042,1,13,gain,0.9,100,0,80.0,-10.0,False,certain
P007,30,6,gain,0.25,100,0,35.0,10.0,False,gamble
P037,30,12,gain,0.75,100,0,85.0,10.0,False,gamble
P007,8,32,loss,0.5,0,100,0.0,,True,certain
P018,22,26,loss,0.75,0,100,-65.0,-10.0,False,certain
P054,23,29,loss,0.9,0,100,-80.0,-10.0,False,gamble
P041,25,30,loss,0.9,0,100,-90.0,0.0,False,gamble
P028,22,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P031,26,17,loss,0.1,0,100,0.0,-10.0,False,certain
P016,19,10,gain,0.75,100,0,65.0,-10.0,False,gamble
P046,23,7,gain,0.5,100,0,40.0,-10.0,False,gamble
P053,17,5,gain,0.25,100,0,25.0,0.0,False,gamble
P010,6,6,gain,0.25,100,0,35.0,10.0,False,certain
P035,24,11,gain,0.75,100,0,75.0,0.0,False,certain
P040,14,24,loss,0.5,0,100,-50.0,0.0,False,certain
P059,25,10,gain,0.75,100,0,65.0,-10.0,False,gamble
P033,8,1,gain,0.1,100,0,0.0,-10.0,False,gamble
P025,15,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P057,22,20,loss,0.25,0,100,-15.0,-10.0,False,certain
P005,30,27,loss,0.75,0,100,-75.0,0.0,False,certain
P054,2,25,loss,0.5,0,100,-60.0,10.0,False,certain
P007,18,23,loss,0.5,0,100,-40.0,-10.0,False,certain
P050,6,23,loss,0.5,0,100,-40.0,-10.0,False,certain
P027,26,11,gain,0.75,100,0,75.0,0.0,False,gamble
P039,23,9,gain,0.5,100,0,60.0,10.0,False,gamble
P040,15,18,loss,0.1,0,100,-10.0,0.0,False,certain
P051,20,14,gain,0.9,100,0,90.0,0.0,False,certain
P060,22,7,gain,0.5,100,0,40.0,-10.0,False,gamble
P038,26,22,loss,0.25,0,100,-35.0,10.0,False,gamble
P030,7,13,gain,0.9,100,0,80.0,-10.0,False,gamble
P018,14,13,gain,0.9,100,0,80.0,-10.0,False,gamble
P018,23,32,loss,0.5,0,100,0.0,,True,certain
P033,15,20,loss,0.25,0,100,-15.0,-10.0,False,gamble
P051,3,32,loss,0.5,0,100,0.0,,True,certain
P052,6,4,gain,0.25,100,0,15.0,-10.0,False,gamble
P011,20,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P034,1,13,gain,0.9,100,0,80.0,-10.0,False,gamble
P006,22,3,gain,0.1,100,0,20.0,10.0,False,certain
P043,19,30,loss,0.9,0,100,-90.0,0.0,False,gamble
P032,23,23,loss,0.5,0,100,-40.0,-10.0,False,certain
P035,8,20,loss,0.25,0,100,-15.0,-10.0,False,certain
P058,9,19,loss,0.1,0,100,-20.0,10.0,False,certain
P059,23,24,loss,0.5,0,100,-50.0,0.0,False,gamble
P052,19,21,loss,0.25,0,100,-25.0,0.0,False,gamble
P011,3,20,loss,0.25,0,100,-15.0,-10.0,False,certain
P014,5,26,loss,0.75,0,100,-65.0,-10.0,False,gamble
P016,11,14,gain,0.9,100,0,90.0,0.0,False,gamble
P007,6,3,gain,0.1,100,0,20.0,10.0,False,gamble
P042,30,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P041,30,13,gain,0.9,100,0,80.0,-10.0,False,certain
P002,15,3,gain,0.1,100,0,20.0,10.0,False,gamble
P029,8,24,loss,0.5,0,100,-50.0,0.0,False,certain
P049,7,23,loss,0.5,0,100,-40.0,-10.0,False,certain
P034,30,30,loss,0.9,0,100,-90.0,0.0,False,certain
P025,20,17,loss,0.1,0,100,0.0,-10.0,False,certain
P023,5,21,loss,0.25,0,100,-25.0,0.0,False,certain
P028,21,4,gain,0.25,100,0,15.0,-10.0,False,gamble
P012,22,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P029,7,7,gain,0.5,100,0,40.0,-10.0,False,gamble
P040,3,31,loss,0.9,0,100,-100.0,10.0,False,gamble
P034,20,6,gain,0.25,100,0,35.0,10.0,False,gamble
P044,9,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P031,20,26,loss,0.75,0,100,-65.0,-10.0,False,certain
P058,3,24,loss,0.5,0,100,-50.0,0.0,False,certain
P010,13,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P042,32,11,gain,0.75,100,0,75.0,0.0,False,gamble
P058,17,4,gain,0.25,100,0,15.0,-10.0,False,gamble
P016,25,27,loss,0.75,0,100,-75.0,0.0,False,gamble
P040,2,21,loss,0.25,0,100,-25.0,0.0,False,certain
P018,19,30,loss,0.9,0,100,-90.0,0.0,False,certain
P059,12,5,gain,0.25,100,0,25.0,0.0,False,certain
P006,16,27,loss,0.75,0,100,-75.0,0.0,False,certain
P045,2,5,gain,0.25,100,0,25.0,0.0,False,certain
P059,19,4,gain,0.25,100,0,15.0,-10.0,False,gamble
P047,16,6,gain,0.25,100,0,35.0,10.0,False,certain
P031,25,8,gain,0.5,100,0,50.0,0.0,False,gamble
P036,32,19,loss,0.1,0,100,-20.0,10.0,False,certain
P040,11,8,gain,0.5,100,0,50.0,0.0,False,certain
P043,7,14,gain,0.9,100,0,90.0,0.0,False,gamble
P022,32,26,loss,0.75,0,100,-65.0,-10.0,False,gamble
P019,15,23,loss,0.5,0,100,-40.0,-10.0,False,gamble
P005,10,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P001,6,21,loss,0.25,0,100,-25.0,0.0,False,gamble
P012,23,15,gain,0.9,100,0,100.0,10.0,False,certain
P058,4,27,loss,0.75,0,100,-75.0,0.0,False,certain
P002,19,30,loss,0.9,0,100,-90.0,0.0,False,certain
P058,26,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P033,30,8,gain,0.5,100,0,50.0,0.0,False,gamble
P041,9,17,loss,0.1,0,100,0.0,-10.0,False,gamble
P026,2,1,gain,0.1,100,0,0.0,-10.0,False,certain
P050,12,4,gain,0.25,100,0,15.0,-10.0,False,gamble
P009,11,24,loss,0.5,0,100,-50.0,0.0,False,gamble
P015,17,10,gain,0.75,100,0,65.0,-10.0,False,certain
P038,23,16,gain,0.5,100,0,120.0,,True,gamble
P015,31,21,loss,0.25,0,100,-25.0,0.0,False,gamble
P041,18,9,gain,0.5,100,0,60.0,10.0,False,certain
P060,5,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P037,9,15,gain,0.9,100,0,100.0,10.0,False,gamble
P002,6,10,gain,0.75,100,0,65.0,-10.0,False,gamble
P010,2,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P004,31,30,loss,0.9,0,100,-90.0,0.0,False,gamble
P047,19,32,loss,0.5,0,100,0.0,,True,certain
P003,17,7,gain,0.5,100,0,40.0,-10.0,False,certain
P046,31,14,gain,1.4,100,0,90.0,0.0,False,gamble
P044,20,31,loss,0.9,0,100,-100.0,10.0,False,gamble
P055,28,12,gain,0.75,100,0,85.0,10.0,False,certain
P026,5,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P026,24,27,loss,0.75,0,100,-75.0,0.0,False,gamble
P007,25,1,gain,0.1,100,0,0.0,-10.0,False,gamble
P018,11,20,loss,0.25,0,100,-15.0,-10.0,False,certain
P042,16,5,gain,0.25,100,0,25.0,0.0,False,gamble
P029,30,14,gain,0.9,100,0,90.0,0.0,False,gamble
P023,3,10,gain,0.75,100,0,65.0,-10.0,False,gamble
P035,25,2,gain,0.1,100,0,10.0,0.0,False,gamble
P023,12,28,loss,0.75,0,100,-85.0,10.0,False,certain
P027,15,16,gain,0.5,100,0,120.0,,True,certain
P056,25,29,loss,0.9,0,100,-80.0,-10.0,False,certain
P051,23,15,gain,0.9,100,0,100.0,10.0,False,gamble
P054,28,3,gain,0.1,100,0,20.0,10.0,False,certain
P039,19,20,loss,0.25,0,100,-15.0,-10.0,False,gamble
P045,30,31,loss,0.9,0,100,-100.0,10.0,False,gamble
P003,24,23,loss,0.5,0,100,-40.0,-10.0,False,gamble
P026,1,11,gain,0.75,100,0,75.0,0.0,False,gamble
P039,13,27,loss,0.75,0,100,-75.0,0.0,False,certain
P024,9,30,loss,0.9,0,100,-90.0,0.0,False,certain
P008,27,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P035,29,16,gain,0.5,100,0,120.0,,True,certain
P032,20,30,loss,0.9,0,100,-90.0,0.0,False,certain
P026,25,17,loss,0.1,0,100,0.0,-10.0,False,certain
P048,8,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P005,21,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P016,20,16,gain,0.5,100,0,120.0,,True,gamble
P036,8,1,gain,0.1,100,0,0.0,-10.0,False,gamble
P021,21,29,loss,0.9,0,100,-80.0,-10.0,False,certain
P010,31,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P020,7,8,gain,0.5,100,0,50.0,0.0,False,certain
P052,3,30,loss,0.9,0,100,-90.0,0.0,False,certain
P019,22,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P054,27,15,gain,0.9,100,0,100.0,10.0,False,gamble
P036,21,30,loss,0.9,0,100,-90.0,0.0,False,gamble
P057,19,15,gain,0.9,100,0,100.0,10.0,False,gamble
P030,11,22,loss,0.25,0,100,-35.0,10.0,False,certain
P054,4,24,loss,0.5,0,100,-50.0,0.0,False,certain
P026,17,16,gain,0.5,100,0,120.0,,True,gamble
P012,10,14,gain,0.9,100,0,90.0,0.0,False,certain
P022,21,27,loss,0.75,0,100,-75.0,0.0,False,certain
P032,15,4,gain,0.25,100,0,15.0,-10.0,False,gamble
P019,4,31,loss,0.9,0,100,-100.0,10.0,False,gamble
P002,3,32,loss,0.5,0,100,0.0,,True,certain
P035,7,25,loss,0.5,0,100,-60.0,10.0,False,certain
P031,32,11,gain,0.75,100,0,75.0,0.0,False,gamble
P043,2,20,loss,0.25,0,100,-15.0,-10.0,False,certain
P004,29,32,loss,0.5,0,100,0.0,,True,certain
P032,4,29,loss,0.9,0,100,-80.0,-10.0,False,gamble
P029,12,27,loss,0.75,0,100,-75.0,0.0,False,certain
P059,31,1,gain,0.1,100,0,0.0,-10.0,False,gamble
P020,13,19,loss,0.1,0,100,-20.0,10.0,False,certain
P054,31,8,gain,0.5,100,0,50.0,0.0,False,gamble
P019,22,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P024,15,6,gain,0.25,100,0,35.0,10.0,False,
P057,18,26,loss,0.75,0,100,-65.0,-10.0,False,certain
P002,9,24,loss,0.5,0,100,-50.0,0.0,False,certain
P005,26,21,loss,0.25,0,100,-25.0,0.0,False,gamble
P054,25,14,gain,0.9,100,0,90.0,0.0,False,certain
P013,26,29,loss,0.9,0,100,-80.0,-10.0,False,certain
P055,29,24,loss,0.5,0,100,-50.0,0.0,False,certain
P028,23,6,gain,0.25,100,0,35.0,10.0,False,certain
P017,4,4,gain,0.25,100,0,15.0,-10.0,False,gamble
P031,19,23,loss,0.5,0,100,-40.0,-10.0,False,certain
P034,15,28,loss,0.75,0,100,-85.0,10.0,False,certain
P012,20,16,gain,0.5,100,0,120.0,,True,certain
P032,24,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P050,10,9,gain,0.5,100,0,60.0,10.0,False,gamble
P026,7,23,loss,0.5,0,100,-40.0,-10.0,False,gamble
P002,17,11,gain,0.75,100,0,75.0,0.0,False,gamble
P038,17,12,gain,0.75,100,0,85.0,10.0,False,certain
P040,32,12,gain,0.75,100,0,85.0,10.0,False,gamble
P021,10,5,gain,0.25,100,0,25.0,0.0,False,gamble
P036,28,8,gain,0.5,100,0,50.0,0.0,False,certain
P004,19,21,loss,0.25,0,100,-25.0,0.0,False,gamble
P019,6,15,gain,0.9,100,0,100.0,10.0,False,certain
P036,9,2,gain,0.1,100,0,10.0,0.0,False,certain
P052,31,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P041,22,26,loss,0.75,0,100,-65.0,-10.0,False,certain
P012,5,1,gain,0.1,100,0,0.0,-10.0,False,gamble
P008,5,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P020,9,22,loss,0.25,0,100,-35.0,10.0,False,gamble
P003,9,11,gain,0.75,100,0,75.0,0.0,False,gamble
P010,3,4,gain,0.25,100,0,15.0,-10.0,False,gamble
